Location_Coordinates,Hospital_Name,Address_Original_First_Line
"27.4728327, 94.9119621",Srimanta Sankardeva Hospital And Research Institute,Mankotta Road
"27.4728327, 94.9119621",Assam Medical College Hospital Dibrugarh (Assam),
"27.4728327, 94.9119621",Aditya Diagnostics and Hospitals,A.M.C.
"27.4728327, 94.9119621",Archana Trauma and Orthopaedics Hospital and Research Centre,Paltan Bazar
"30.2886168, 78.0552088",Sristi Hospitals And Research Centre Pvt Ltd,Paltan Bazar Jalan Nagar
"27.4728327, 94.9119621",Tengakahat PHC,Tengahat
"27.1896096, 94.9092263",Life Care Nursing Home,Jayanagar
"27.299143, 95.274974",Sasoni CHC,Sasoni
"27.1821064, 95.1106383",Rajgarh CHC,Rajgarh
"27.4720664, 94.9519733",Assam Medical College and Hospital (AMCH),"Assam Medical College, Barbari"
"26.175342, 90.6206204",Florence Hospital,Pancharatna Road
"26.1763952, 90.6250806",Solace Hospital and Research Centre,Agia Road
"26.5238515, 93.962337",Garmur CHC,"Garmur , Majuli"
"26.5238515, 93.962337",Binapani Nursing Home and Hospital,Barpeta Road
"26.5238515, 93.962337",Naharani PHC,"Naharani, Dibrugarh"
"26.5129565, 93.9703062",G B M Nursing Home,Near Golaghat Stadium
"26.5238515, 93.962337",Hgm Nursing Home,"272, Gd Road"
"26.5245127, 93.9710628",Life Line Hospital and Research Centre,Jagat Goswami Road
"26.7465203, 94.2025859",Jorhat Medical College And Hospital,"Jorhat Medical College and Hospital, Konwar Path, Barbheta\nP.O.Jorhat"
"26.7496881, 94.1949013",A G Nursing Home,"A.T.Road, Tarajan"
"26.7465203, 94.2025859",J D S Civil Hospital,Main Town
"43.1938516, -71.5723953",J R Hospital,"N.H.-37, Bye-Pass, Sarbaibandha"
"26.7465203, 94.2025859",Jorhat Nursing Home,
"26.7336887, 94.2038688",K. G Memorial Medical Centre,K.K Path (Jail Road)
"26.7465203, 94.2025859",Kamalabari Sdch,Kamala Bari
"26.7465203, 94.2025859",Malpani Nursing Home Medicure Center),Rajamaidam Road
"26.762582, 94.2064286",Pain and Fracture Clinic and Research Centre,Malow Ali
"26.7496881, 94.1949013",Sanjivani Hospital,"At Road, Tarajan"
"26.5880979, 94.1872178",Titabor Sd Ch,Titabor
"26.1445169, 91.7362365",Gauhati Medical College and Hospital (GMCH),"Gauhati Medical College, GMCH Complex, GMCH Rd, Bhangagarh"
"26.1830738, 91.7404977",Central Clinic and Nursing Home,Fancy Bazar
"26.1299856, 91.7992658",Sri Sankaradeva Nethralaya,Beltola
"26.1658231, 91.7686098",Aruna Memorial Hospital,"Rajgarh Road, Bhangagarh"
"26.1433459, 91.7897953",G N R C Heart Institute,Dispur
"26.1445169, 91.7362365",Gauhati Medical College Hospital,
"26.1620495, 91.7697044",Nemcare Hospital,G S Road Bhangagarh
"26.1494687, 91.7837528",Nightingale Hospital,Ganeshguri Dispur Kacharibasti
"26.1448491, 91.7866194",Advance Neuro Science Hospital,"Kahlipara Road, Ganesh Guri, Near Ganesh Mandir"
"37.5355781, -77.4377577",Diabetic Care and Research Centre,"G S Road, Near Down Town Hospital"
"26.1433459, 91.7897953",Dispur Polyclinic and Nursing Home,"Ganeshguri , Dispur"
"26.1445169, 91.7362365",Guwahati Neuro Research Centre Ltd,Gnrc-Super Market
"27.4924134, 77.673673",Sun Valley Hospital - Guwahati,"Mathura Nagar, G.S. Road,Near Pantalon"
"31.5598318, 74.3012121",City Heart Hospital,"No 200 , Rajgarh Road House"
"26.1785763, 91.7497194",Gurucharan Polyclinic Cum Nursing Home,"Md.Shah Road, Paltan Bazar"
"26.1740683, 91.7400691",Marwari Hospital and Research Centre,"Sati Joymati Road, Athgaon"
"26.174303, 91.7331991",Institute Of Human Reproduction,Bharalumukh
"26.1684554, 91.7283341",Swagat Endolaproscopic Surgical Research Institute,A.T.Road Santipur
"26.1444686, 91.7666692",Saraighat Hospital Pvt Ltd.,"Kahilipara, , Beltola Battalion Gate"
"26.1245811, 91.8111379",Agile Hospitals Pvt Ltd,"Joyanagar, Khanapara"
"26.1305013, 91.8093282",Gnrc Sixmile Hospital,"G.S Road,Six Mile, Khanapara"
"26.1620495, 91.7697044",Guwahati Medical College Hospital,Bhangagarh
"26.1394673, 91.7469849",Hayat Hospital,"Odalbakra, Kahilipara Road, Lalganesh"
"26.1433459, 91.7897953",Hm Hospital and Research Centre Pvt.Ltd,"Hatigaon,Dispur"
"26.2519311, 91.5257042",Hajo Fru,Hajo
"26.1703301, 91.570327",Sualkuchi Fru,Sualkuchi
"25.977767, 91.2355695",Boko Fru,Boko
"26.5563373, 90.2537897",Balajan Block PHC,Haltugaon
"27.9490794, 80.7824012",Bihpuria CHC,Bhipuria
"27.9490794, 80.7824012",Dalpur CHC,Dalpur
"27.9490794, 80.7824012",Happy Nursing Home,Cd. Road
"27.9490794, 80.7824012",Mid Town Hospital and Research Institute,Nakari Ward No - 1
"27.9490794, 80.7824012",Saumerpith Nursing Pvt Ltd,Saboti Lilabari Road
"27.9490794, 80.7824012",Nowboicha CHC,Nowboicha
"27.0563989, 93.9546877",Bongalmora CHC,Bongalmora
"27.3114122, 94.456805",Dhakuakhona CHC,Dhakuakhana
"26.3442582, 92.6809935",G.D.Hospital,"N.H.37,Haibargaon"
"26.3442582, 92.6809935",Pkb Nursing Home Pvt Ltd,Lawkhowa Road Haibargaon
"26.4446185, 91.4410527",Pragati Nursing Home/Diacare,Hazo Road
"26.4446185, 91.4410527",United Hospital And Research Centre,Circuit House Road
"27.2513486, 94.890005",Dhl Health Services,"Station Chariali Sivasagar, A.T.Road"
"26.9826098, 94.6424521",East Point Hospital And Res Centre,B G Road
"26.4825511, 90.961758",Life Care Hospital and Research Centre,"Simlaguri ,Barpeta Road"
"12.9738208, 77.5288881",Sampreeti Hospital,"A T Road, Ward No 13, Kanaknagar"
"26.9826098, 94.6424521",Sarma Nusring Home,Thana Road Sivasagar
"26.9826098, 94.6424521",H M Hospital and Research Center,A.T.Road Pioli Nagar
"27.1897238, 94.9175686",Moran Medical Centre,"Kushal Nagar, Moranhat"
"26.6528495, 92.7925592",Tezpur Medical College and Hospital,"NH-37A, Tezpur"
"26.6607816, 92.775492",Baptist Christian Hospital,Mission Chariali
"43.1938516, -71.5723953",K P Memorial Hospital,Nh-52 Biswanath Charjali
"27.4922723, 95.361689",City Hospital And Research Centre,Gnb Road
"27.4947049, 95.3690926",Jeevan Jyoti Nursing Home,Parbatia Parbatia
"26.1857244, 91.7514949",Life Line Hospital - Tinsukia,Gopi Nath Barodoloi Road
"27.4796192, 95.36284",St Lukes Hospital,Duliajan Road
"27.2910662, 95.6694606",Margherita Community Health Centre,Margherita
"27.2910662, 95.6694606",Rontix Hospital,Margherita
"26.2992736, 87.2666121",Baba Gramin Seva Sadan,"Refferal Roda , Forbesganj"
"26.2992736, 87.2666121",Dr. Alakh Niranjan Memorial Hospital,Forbesganj
"26.2992736, 87.2666121",Dr. Chaudhary Hospital and Research Institute,"Refferal Roda , Forbesganj"
"26.2992736, 87.2666121",Mata Mariam Nursing Home,"Referal Road, Forbesganj"
"25.5536422, 84.6552781",Shishu Kalyn Kendra,"Circuit House Road, Pakri"
"25.2269658, 84.6439886",Pipra Hospital Pvt.Ltd,Baidrabad
"19.8761653, 75.3433139",Haddi and Dental Hospital,M.G.Road
"19.8761653, 75.3433139",Health World,M G Road
"19.8761653, 75.3433139",Pulse Women Hospital,M.G.Road
"25.1695382, 84.7345233",S D Hospital,M G Road
"19.8761653, 75.3433139",Shanker Nursing Home,Town Thana
"19.8761653, 75.3433139",Swastik Hospital,Jasoya Mor
"25.0332255, 84.3988806",Dord Hospital,Sangat Road Old Town Daudnagar
"24.6174662, 84.2258636",Rahat Clinic,"Nabinagar Road Amba,Kutumba"
"24.8872095, 87.133561",Dr Ajay Kumar,Jhajha
"24.868126, 86.9185854",Dr. Akhilesh Kumar,Jagatpur
"25.2427952, 86.9754441",Dr. Hemant Kumar Das,"Babu Tola, Amarpur Road"
"25.0952381, 86.6636269",Baba Baidynath Eye Hospital,"Behind Bsnl Tower , Old Bus Stand, Tarapur"
"41.1171432, 16.8718715",Bone and Joint Hospital and Trauma Centre,"Bari Pokhar, Pokharia"
"25.4185465, 86.3105645",Mahila Aspatal,"Prashant Nagar, Balia"
"23.0734622, 72.5918636",Shivani Health Care Centre,"West Of Power House Chowk,N.H.-31"
"25.39925, 86.355409",Uma Nursing Home,Patel Chauk Ballia
"24.886849, 85.530311",Bharat Nursing Home,Ranchi By Pass
"24.9179801, 85.4644513",Budha Hospital,Hisua Rajgir Main Road Nardi Ganj
"26.6056151, 85.8457444",Matihani Referal,"Block Office, Matihani"
"24.851023, 85.4155067",Nav Jeevan Hospital,Station Road Hisua
"25.3265812, 85.4048465",Polo Hospital,"Bhagbanpur Road, Lalganj, Chandi"
"43.1938516, -71.5723953",Ram Krishna Hospitaland Medical Research Center,"Nh.107, Near Cinema Chowk, Murliganj"
"25.7795649, 84.7498886",Shyam Hospital,Ambika Bhawani Colony Bhagwan Bazar Chhapra
"25.7795649, 84.7498886",Susheela Hospital,Vill=Post Kopa Chhapra
"24.8021749, 85.2437841",Uday Nursing Home,Wazirganj (Gaya)Near Bus Stand
"25.413078, 86.1479052",Bishnupur Multi Speciality Hospital,Bishnupur
"25.2427952, 86.9754441",Angika Nursing Home,Patal Babu Road
"25.2414303, 86.9924358",Asraya Hospital,Tilka Majhi Chowk
"25.2414303, 86.9924358",Dr Archana Jha Clinic and Nursing Home,Tilka Majhi Road
"25.2414303, 86.9924358",Dr Suresh Pathology,Mahatma Gandhi Path
"25.2414303, 86.9924358",Dr. Chandra Shekhar Shah,Masakchak
"25.2414303, 86.9924358",G.S. Hospital and Endolaparoscopy Centre,R.B.B.S.Road
"23.3666425, 85.3248851","Pushpdeep Trauma,Replacement And Spine Clinic","Mahatama Gandhi Path,Kacheri Road"
"25.2414303, 86.9924358",Rakshit Nursing Home,"Near X Ray , M G Road"
"25.2545763, 86.9836798",Sanjivani Nursing Home,Aakashvani Adampur
"25.2519508, 86.9839293",Satyam Matri Shishu Kendra,Radha Rani Sinha Road
"25.2519508, 86.9839293",Sharda Hospital,"Navyung Vidhalya Ke Pass, Postal Colony Ke Samne, Radha Sinha Road"
"23.3666425, 85.3248851",Shrishti Nursing Home,"Mahatama Gandhi Path,Kacheri Road"
"31.4329486, 75.713901",Sneh Nursing Home,"Red Cross Road, Opposite Registry Office, Adampur"
"25.2552266, 86.9887873",Srijan Maternity and Fertility Clinic,"Swami Vivekanand Road, Adampur"
"25.2414303, 86.9924358",Tapashwi Hospital,Aadampur Chowk
"25.2414303, 86.9924358",Aditya Nursing Home,Gomti No-2 Ke Niche
"25.2422223, 86.9586539",Advance Maternity and Infertility Centre,Tatarpur
"25.2642346, 87.2322865",Shagun Nursing Home,"Vikram Shila Nagar, Kahalgaon"
"25.468313, 84.4225186","Anumandaliya Hospital, Jagdishpur, Bhojpur",Jagdishpur
"25.5604346, 84.6678542",Heera Surya Nursing Home,Mahabir Tola
"25.598239, 84.4776587",Kanchan Shalya Niketan,"Katira, P.S."
"25.5560443, 84.6603307",Khwaja Garib Nawaz Welfare Society,"Nr Jail, Khetari Mohalla,Ara"
"25.5560443, 84.6603307",Maa Jagdamba Nursing Home,"Sahid Bhawan,Ara"
"25.5560443, 84.6603307",Manav Kalyan Ewam Shodh Sansthan,"Ara, In Front Of Nabada Thana"
"25.5558012, 84.6597578",Ortho Centre,"Club Rd,Ara"
"25.5604346, 84.6678542",Orthopaedics Clinic,Mahabir Tola
"25.5647103, 83.9777482",Gloval Vishwamitra Hospital,"Golambar,Main Rd"
"22.7086412, 90.3702748",Ma Shivratri Dental Health Hospital,Purana Sadar Hospital
"25.5647103, 83.9777482",Neha Nursing Home,Koerpurma
"25.5647103, 83.9777482",R.R Memorial Hospital,Kali Asthan Bypas Rd
"25.5659886, 83.9804553",Vishwamitra Hospital,Main Road Golambar
"25.5647103, 83.9777482",Sadguru Nursing Home,Nawa Nagar
"25.5647103, 83.9777482",Garib Nawaz Hospital,Dumaraon
"25.5647103, 83.9777482",Marry Ward Health Centre,Purana Bazar
"25.5713125, 84.1454487","Rogi Kalyan Samiti,Sub.Divisional Hospital,Dumraon",Dumraon
"25.5647103, 83.9777482",Siddhashram Sewa Sadan,Bypass Road
"26.1193569, 85.9048962",Darbhanga Medical College and Hospital,Laheriasaria
"26.1181299, 85.9002124",Sheela Health Clinic,"Bangalitola, Laheriasarai"
"26.115861, 85.9300161",R B Memorial Hospital,Benta Road
"26.111868, 85.896004",Amrit Nursing Home,Rajkumar Ganj
"26.115861, 85.9300161","Anant Arogya Neketan ,","Benta Road, Laheriasari"
"26.1293757, 85.904578",Arora Nursing Home,"Benta Chowk, Laheriya Sarai"
"26.1303638, 85.9023453",Dwivedi Clinic,"Hospital Road, Laheriya Sarai"
"26.1303638, 85.9023453",M/S Sanjay Surgical and Urological Kendra,"Hospital , Laherriasarai"
"26.1193569, 85.9048962",M/S Sinha Clinic,Laheriasarai
"25.1336987, 82.5644344",Maa Bhagwati Nursing Home,"Mirzapur, Behind Bhagwati Mandir"
"26.111868, 85.896004",Matriva Nursing Home,Alalpatti
"26.1193569, 85.9048962",Navjeevan Hospital,"Near Dmch Child Ward, Laheria Sarai"
"32.0765869, 72.6972609",Nn Memorial Hospital,"Near Bus Stand, Kadirabad"
"26.111868, 85.896004",Prem Medical Research and Rehabilation Center (P) Ltd.,"Near Donar, Chowk"
"26.1303638, 85.9023453",Prof. R.P.Gami Memorial Hospital,"Hospital Road, Laheriya Sarai"
"26.111868, 85.896004",R.K. Ortho Ashram,Madarpur
"26.1293757, 85.904578",Satya Sai Nursing Home,"Benta Chowk,Laheriasarai"
"26.0594824, 86.1518851","SubDivisional Hospital, Benipur","Sub- Divisional Hospital, Benipur"
"26.1668952, 85.891473",Agrachal Nursing Home,Kadirabad
"26.111868, 85.896004",Mahamaya Nursing Home,"Vip Road, Alpatti"
"36.7911594, -85.6847721",Shyama Surgical Sansthan,"5, G.M. Road(West Of Radio Staion)"
"26.9808459, 84.8540706",Aditya Arogya Sansthan,"Naga Road, Raxaul"
"26.9910294, 84.8507594",The Duncan Hospital,Raxaul
"26.6469624, 84.9088938",Aastha Nursing Home and Maternity Centre,"Gopal Pur, Motihari"
"26.6469624, 84.9088938",Amar Clinic And Diabetic Care Centre,"Gayatri Nagar, Motijheel Ke Kinare, Motihari"
"26.6393803, 84.9023839",Astha Nursing Home,"West Gopalpur, Motihari"
"26.6469624, 84.9088938",Banarsidas Chandiwala Eye Hospital,"Chota Bariarpur, Nh-28 A, Motihari"
"26.6430248, 84.911823",Bhawani Nursing Home,Agarwa-Motihari
"26.6469624, 84.9088938",Chandana Surgicare,"Razabazar, Motihari"
"26.6501494, 84.9232282",Dr. A. Rahmans Hospital,"Bhawanipur, Zirat"
"23.810332, 90.4125181",Hospito Care,"Salam Complex,Gorashan Raod,Dhaka"
"23.810332, 90.4125181",Jai Shree Swasthya Kendra,"Brhemashthan, Ghorasahan Road , Dhaka"
"26.6469624, 84.9088938",Jeevan Deep Nursing Home,"Dhaka Road, Mahiya, Deh, Chatoni, Motihari"
"26.6469624, 84.9088938",M.J. Heart Hospital,"Rehman Hospital, Bhavani Pur, Zirath, Motihari"
"26.6469624, 84.9088938",Maa Nursing Home,"Shri Krishan Nagar, Near L.N.D. College, Motihari"
"26.6469624, 84.9088938",Maa Seva Sadan and Prasuti Kendra,"Brahm Asthan, Ghorasahan Road, Dhaka, Motihari"
"26.4180749, 85.0490069",Madan Raj Nursing Home,"Hospital Road , Motihari"
"26.6469624, 84.9088938",Madhuri Nursing Home,"Banjariya Pandal Chowk, Motihari"
"26.6433705, 84.890664",Maharaja Nursing Home,"Raghunathpur, Motihari"
"26.6469624, 84.9088938",Motihari Medical Center,"Po-Raghunathpur,Thana- Tirkoliya,Motihari"
"26.6469624, 84.9088938",Om Sai Nursing Home,"Opposite Chatauni Colony, Gali No:-1, Chatauni, Motihari"
"26.6469624, 84.9088938",Shamima Health Center,"Gyan Pull Chowk,Near Madahav Cinema Hall,Banjariya,Motihari"
"26.6469624, 84.9088938",Sharan Nursing Home,Motihari
"26.6469624, 84.9088938",Shreyaskar Hospital,"Nh 28 A Chatauni Chowk Beside Sheetal Hotel, Motihari"
"26.6469624, 84.9088938",Surgicare,"Sadar Hospital Road, Motihari"
"26.4180749, 85.0490069",Susrut Shalya Chikitsha Kendra,Hospital Road Motihari
"26.6469624, 84.9088938",Vatsalya Nursing Home,"Gopalpur, Raza Bazar Road, Motihari"
"26.6469624, 84.9088938",Yogendra Giri Sewa Ashram,"Belwa Chowk,Near Railway Crossing ,Motihari"
"26.4174337, 85.0541036",Osho Healing Space,"Madhuban Road Barachakia,Chakia"
"26.4106892, 85.0493253",Referral Hospital,Bara Chakia
"26.6098139, 84.8567932",Chandralekha Health Care,Thana Road Gorashan
"23.810332, 90.4125181",Matra Chaya,"Infront Of Ragistri House,Gorashan Road,Dhaka"
"26.4925984, 85.2798208",Sundaram Hospital,"Tetariya Road, Madhuban"
"26.6469624, 84.9088938",Jagannath Seva Sansthan(Medical Help Centre Ngo),"N.H-28, Khajauriya Chowk, Motihari"
"26.6469624, 84.9088938",Sapna Nursing Home,"Gandhi Nagar, Kotwa, Motihari"
"26.6098139, 84.8567932",Vaishanavi Hospital,"Nanhkar Road, Patahi"
"26.6031974, 84.5981913",Sehat Seva Kendra,Paharpur
"24.8292941, 85.1660825",Matri Sadan Nursing Home,Nardi Grnj
"24.6694338, 85.2395633",Subham Nursing Home,"Fatehpur Road, Wazirganj"
"24.7890344, 84.9950793",Abhineet N H and Research Centre,West Church Road
"24.7887904, 84.9915049",Advanced Eye Care Centre,"Road No, 03 Near  Club , White House Compound"
"24.7890344, 84.9950793",Al-Zahir Navjeevan Hospital and Reasearch Center,South Church Road
"24.782567, 84.9824041",Gautam Patho Lab,"66, A.P. Colony"
"24.7883324, 84.9874829",Haddy Hospital and Art Center,A.P.Colony
"24.4417581, 84.5915294",Sanjevani Nursing Home,"Near Bus Stand, Raniganj, Imamganj"
"22.2942013, 70.7836272",Sri Krishna Nursing Home and Maternity Center,Near G.B. Mahila College
"25.6046348, 85.0889575",Satyam Hospital,"Sheikhpura, Raza Bazar, Bailey Road, -14"
"24.441598, 84.3988806",Hind Nursing Home and Anusandhan Kendra.,"Pankara, Dumaria"
"24.4417581, 84.5915294",Rog Nidan Charitable Hospital,"Near Bus Stand, Raniganj, Imamganj"
"24.5595131, 84.7994271",Dr. Kundu Poly Clinic,"Gola Bazar, Sherghati"
"24.5595131, 84.7994271",Rishav Nursing Home,"Gola Bazar, Near Raj Hall, Sherghati"
"25.6094014, 85.1615998",Ashutosh Nursing Home,"Road No. 8, Rajendra Nagar"
"24.5320137, 84.9049879",Maa Shaarde Sewa Sadan,Dobhi
"26.3695853, 84.3357992",Dr. Subhash Chandra Gupta,"Thane Road, Mirganj"
"26.4544251, 84.4362365",Jagdamba Nursing Home,Station Road
"26.4626937, 84.4412166",Medical Institute and Hospital (Dr. M. Kumar),Cinema Road
"26.4626937, 84.4412166",Surgi Uro Centre,Cinema Road
"38.7881801, -92.9301265",Dr. Manju (Chauhan) Kumari,"Baipass Road, Mahisouri"
"16.5124561, 80.6174954",Hi-Tech Clinic,"Station Road, Opp Govt Bus Depot"
"25.2175053, 85.1414542",Swasdhya and Parivar Kalyan Vibhag Hospital,Bandhuganj
"25.0426227, 83.6055732",Gandhi Kusth Nivaran Pratisthan,Gandhi Gram
"25.0426227, 83.6055732",Ranjan Hospital,Kachari Rd
"25.0426227, 83.6055732",Srijan Hospital,Ekta Chowk
"25.0426227, 83.6055732",Prakash Hospital,Durgawati G.T.Rd
"25.0426227, 83.6055732",Dr.Awinash Clinic,Station Rd. Mohania
"25.0426227, 83.6055732",Mansarover Hospital,"Bhabhua Rd.,Mohania"
"25.0426227, 83.6055732",Sanjeevani Hospital,G.T Rd. Mohania
"25.0426227, 83.6055732",Kushi Health Care Centre,Ramghad
"25.0426227, 83.6055732",Ujjwal Nursing Home,"G.T.Rd.Sakari,Kudra"
"25.5385943, 87.5676712",Onyx Dental And Implant Center,Binodpur
"25.5385943, 87.5676712",Sanjeewini Nursing Home,Binodpur
"25.552048, 87.5718609",Advanced Bone Center,Barmasia
"25.577045, 87.5346402",Chaturbhuj Surgicare,Anwarpur
"25.5139028, 87.5630684",Devesh Nursing Home,Durgapur
"25.552048, 87.5718609",Dr Arif Clinic,Binod Pur
"25.552048, 87.5718609",Dr. M M Haque Nursing Home,Binod Pur
"25.5395799, 87.5684895",Jannakshya Nursing Home,Binodpur Road
"25.552048, 87.5718609",K K Matri Seva Sadan,Durgapur Road
"26.0269532, 87.9500306",Katihar Seva Sadan,Hospital Road Kalibari
"25.552048, 87.5718609",Lodi Health Clinic,Sharif Gunj
"25.5417348, 87.5744557",Manish Nursing Home,R K Mission Road
"25.5385943, 87.5676712",Nidaan Hospital,"Kali Bada , Binodpur"
"25.552048, 87.5718609",Nirog Nursing Home,Ram Para Chowk
"25.552048, 87.5718609",Patna Hospital,Lalkothi Road
"25.552048, 87.5718609",Popular Sewa Sadan,Block Road Pathepur
"25.5395799, 87.5684895",Shamim Nursing Home,Binodpur Road
"25.5395799, 87.5684895",Sharan Clinic,Binodpur Road
"25.552048, 87.5718609",Sheefa Health Clinic,Sarifganj
"25.3418047, 87.620941",Sub Div Hospital Manihari,Manihari
"25.6671685, 87.8580447",Y F A Hospital and Research Centre,Nayatola
"25.6932815, 87.0264354",Shaheed Prabhu Narayan Multispeciality Hospital,"Permanandpur, N.H. 31"
"25.4086683, 86.6485137",Swastim Hospital And Stone Clinic,"Gogri, Jamalpur"
"26.1024918, 87.9545046",Kanchanlata Nursing Home,Dharamsala Road
"26.4631836, 86.9232138",Hussain Memorial Nursing Home,Main Road Bahadurganj
"13.0520155, 80.2474986",Chitranjan Sevasadan General,Cathederal Garden Road
"25.1821699, 86.0964663",Muskan Nursing Home,Chitranjan Road
"10.9940111, 76.9561277",Care Nursing Home,"Raja Complex, By Pass Road"
"25.9286903, 86.7909759",Druvit Hospital,Near Bus Stand
"25.9286903, 86.7909759",Madhipura Christian Hospital Society,At + Po
"25.9286903, 86.7909759",Satish Memorial Hospital And Research Center,Raja Nagar Sadhupath
"25.7771391, 87.4752551",Vinit Nursing Home,"Purnia Gola Chowk,Maim Road"
"43.1938516, -71.5723953",Ramkrishana Hospital and Medical Research Centre-Madhepura,"Nh-107,Cinema Chowk Murli Ganj"
"25.9286903, 86.7909759",Dr.D K Gupta,Pipra
"26.3609666, 86.059333",Heritage Hospital and S N R L Trauma and Orthopedic R,Jeebachh Chowk Sapta
"26.5883988, 86.1370148",Jeeva Deep Charitable Trust,"Bela, Jaynagar"
"26.4465698, 85.9074526",Astha Hospital,Benipatti
"26.5790111, 86.009606",Sardaun Memorial Arogya Clinic,"Basopatti, Badhanedi Chowk"
"26.5883988, 86.1370148",Dr. Uma Kant Jha,"Bhelwatola, Jaynagar"
"26.5012234, 86.3976042",Dr. Ak Singh Clinic,P.O Khutauna
"26.2053088, 86.0101442",Dinesh Nursing Home,"Madhubani Road, Sakri"
"26.218532, 86.0784459",Haider Hospital and Reasearch Center,Sakri
"26.218532, 86.0784459",Jeevan Jyoti Nursing Home,Sakri
"26.3468544, 86.0715474",Nayan Jyoti Netralaya,Ranti Deodhi
"26.3468544, 86.0715474",Surgical Clinic,Mahanthi Lal Chowk
"41.1171432, 16.8718715",Arpan Ortho Hospital,"Bari Bazar, Bari Bazar, Infront Of Icici Bank"
"25.312717, 86.4906091",Bhagwan Gautam Buddha Hospital,Jamalpur
"25.3750079, 86.4748634",Dr. J. K. Barma Memorial Medicare and Reaserch Centre,Neelam Road
"41.1171432, 16.8718715",Jeevan-Jyoti Medical and Research Center-Munger,"Bari-Bazar, Munger Beechagam, Kasim Bajar"
"25.5060221, 86.4824208",Manju Poly Clinic,"M. G. Road, Baluahi"
"25.5060221, 86.4824208",Raj Hospital And Research Centre,"M. G. Marg, Baluahi"
"25.5053956, 86.4636642",Urmila Nursing Home,Station Road
"26.1208876, 85.3647201",Sri Krishna Memorial College and Hospital,P.O.Umanagar
"25.7795649, 84.7498886",Apollo Maternity,"Zila Parishad Market, Juran Chhapra"
"26.1246831, 85.3994167",Ayushman Nursing Home,Juran Chapara Main Road
"26.1290285, 85.3766632",Dr. Brajesh Kumar Ortho and Trauma Care,"Juran Chapra, Road No.1"
"26.1208876, 85.3647201",Krishnadevi Deviprasad Kejriwal Maternity Hospital,"Juran Chapra, Road-2"
"26.1208876, 85.3647201",Maa Janki Hospital and Research Center Pvt Ltd,Bairiya Golamber
"26.1291143, 85.3733105",Mishra Hospital,"Juran Chapara, Road No.4"
"26.1246831, 85.3994167",Modern Nurshing Home,"Main Road, Juran Chapra"
"26.1229787, 85.3839684",Muzaffarpur Heart Hospital and Research Centre Pvt. Ltd.,Bank Road
"26.1246831, 85.3994167",Netralaya,Juran Chapra Road No-03
"26.1246831, 85.3994167",Parijat Nursing Home,"Juran Chapra, Main Road"
"26.1291143, 85.3733105",Prashant Memorial Charitable Hospital,Juran Chapra Road No-4
"26.128882, 85.3725692",R.P.M.C.Hospital,"Road No.5 ,Juran Chapara"
"26.1288636, 85.3755816",Sanjeevani Clinic and Nursing Home,"Road No.2, Juran Chapara"
"26.12895, 85.3746657",Sight Care,Road No 3 Juran Chapra
"26.1293142, 85.3746397",Standard Diagnostics,Juran Chapra
"26.1337646, 85.3876455",Aseem Healthcare and Trauma Centre,"Akharaghat, Near Zero Mile"
"26.1288636, 85.3755816",Healthy Home,Road No. 2 Juran Chapra
"26.1189406, 85.3773802",Roy Nursing Home and Maternity Centre,Kalambagh Road
"26.1208876, 85.3647201",Amal Nursing Home,Mehndi Hasan Chowk
"25.7655889, 84.1506255",Care Nursing Home,M.I.T.Road Bairiya Chowk
"26.1658856, 85.3936958",Shri Krishna Medical College And Hospital,"Skmch, Uma Nagar"
"21.913965, 95.956223",Kabirayatan Eye Hospital and Research Institute,"Kabir Nagar,Near Barma Temple"
"25.1992111, 85.5295189",Sharda Laxmi Surgery Centre,"Doctors Colony,Khandakpar,Biharsarif"
"25.3068221, 85.2773191",Dr. B.R. Ambedkar Hospital and Research Centre,Hilsa
"25.3068221, 85.2773191",Sandali Hospital Pvt. Ltd.,"Varuntal, Hilsa"
"25.1240603, 85.4594749",Gokul Pariwar and Shishu Swasthya Kendra,Karaiparsurai
"25.1240603, 85.4594749",Nath Nursing Home,Daniyava
"25.1982147, 85.5148735",Ashirbad Sewa Sanstha,"Netra Nidan Eye Hospital, Hospital More, Bihar Sharif"
"25.2086056, 85.5161612",Bihar Clinic,"Kagzhi Mohalla, Bihar Sharif"
"25.1992111, 85.5295189",Dr Ashwani Ent Hospital,"Doctors Colony, Khandakpar, Biharsarif"
"25.203121, 85.538811",Dr. Maj.Sanjay Kumar,"Station Road, Khandakpar"
"25.2735985, 85.5306855",Harihar Hospital,Patasang Rahui/Biharshariff
"25.2065728, 85.520158",Jaya Nursing Home,Bhaisasur Ranchi Rd.Biharsarif
"25.2046142, 85.5174934",Jeevan Jyoti Hospital,"Ranchi Road, Bhaisasur , Bihar Sharif"
"25.1803482, 85.5108935",Khushboo Hospital,"Kishanbagh, Biharsharif"
"25.0172573, 85.4161642",Kisan Nursing Home and Hospital Pvt Ltd,"At Silao, P. S. Rajgir"
"25.1240603, 85.4594749",Mamta Mother and Child Hospital(P)Ltd.,Ranchi Rd.Biharsarif
"25.1982147, 85.5148735",Nalanda Netralaya and Maternity Home Pvt. Ltd.,"Doctors Colony, Khandkpar, Bihar Sharif"
"25.2334134, 85.5163184",Opolo Surgical and Urology Centre,"Ranchi Road, Biharsharif"
